Model,Drop,Iteration,FScore
MTwDBN,20.0,1.0,0.923076923076923
MTwDBN,20.0,2.0,0.923076923076923
MTwDBN,20.0,3.0,0.88
MTwDBN,20.0,4.0,0.923076923076923
MTwDBN,20.0,5.0,0.88
MTwDBN,40.0,1.0,0.88
MTwDBN,40.0,2.0,0.88
MTwDBN,40.0,3.0,0.888888888888889
MTwDBN,40.0,4.0,0.88
MTwDBN,40.0,5.0,0.8571428571428571
MTwDBN,60.0,1.0,0.7407407407407408
MTwDBN,60.0,2.0,0.7586206896551724
MTwDBN,60.0,3.0,0.7692307692307692
MTwDBN,60.0,4.0,0.7407407407407408
MTwDBN,60.0,5.0,0.7857142857142857
MTwDBN,80.0,1.0,0.7407407407407408
MTwDBN,80.0,2.0,0.6666666666666666
MTwDBN,80.0,3.0,0.7142857142857143
MTwDBN,80.0,4.0,0.6666666666666666
MTwDBN,80.0,5.0,0.7142857142857143
Binary,20.0,1.0,0.782608695652174
Binary,20.0,2.0,0.8333333333333333
Binary,20.0,3.0,0.75
Binary,20.0,4.0,0.782608695652174
Binary,20.0,5.0,0.75
Binary,40.0,1.0,0.782608695652174
Binary,40.0,2.0,0.7272727272727273
Binary,40.0,3.0,0.75
Binary,40.0,4.0,0.8333333333333333
Binary,40.0,5.0,0.782608695652174
Binary,60.0,1.0,0.5454545454545454
Binary,60.0,2.0,0.6956521739130435
Binary,60.0,3.0,0.6666666666666666
Binary,60.0,4.0,0.5833333333333334
Binary,60.0,5.0,0.6666666666666666
Binary,80.0,1.0,0.5714285714285714
Binary,80.0,2.0,0.5
Binary,80.0,3.0,0.4444444444444445
Binary,80.0,4.0,0.5
Binary,80.0,5.0,0.4210526315789473
Threshold,20.0,1.0,0.782608695652174
Threshold,20.0,2.0,0.782608695652174
Threshold,20.0,3.0,0.782608695652174
Threshold,20.0,4.0,0.782608695652174
Threshold,20.0,5.0,0.782608695652174
Threshold,40.0,1.0,0.782608695652174
Threshold,40.0,2.0,0.782608695652174
Threshold,40.0,3.0,0.782608695652174
Threshold,40.0,4.0,0.782608695652174
Threshold,40.0,5.0,0.782608695652174
Threshold,60.0,1.0,0.6666666666666666
Threshold,60.0,2.0,0.6666666666666666
Threshold,60.0,3.0,0.6666666666666666
Threshold,60.0,4.0,0.6666666666666666
Threshold,60.0,5.0,0.6666666666666666
Threshold,80.0,1.0,0.4444444444444445
Threshold,80.0,2.0,0.35294117647058826
Threshold,80.0,3.0,0.35294117647058826
Threshold,80.0,4.0,0.35294117647058826
Threshold,80.0,5.0,0.4444444444444445
LASSO,20.0,1.0,0.6923076923076924
LASSO,20.0,2.0,0.6923076923076924
LASSO,20.0,3.0,0.6923076923076924
LASSO,20.0,4.0,0.6923076923076924
LASSO,20.0,5.0,0.6923076923076924
LASSO,40.0,1.0,0.4761904761904762
LASSO,40.0,2.0,0.4761904761904762
LASSO,40.0,3.0,0.4761904761904762
LASSO,40.0,4.0,0.4761904761904762
LASSO,40.0,5.0,0.4761904761904762
LASSO,60.0,1.0,0.25
LASSO,60.0,2.0,0.25
LASSO,60.0,3.0,0.25
LASSO,60.0,4.0,0.25
LASSO,60.0,5.0,0.25
LASSO,80.0,1.0,0.0
LASSO,80.0,2.0,0.0
LASSO,80.0,3.0,0.0
LASSO,80.0,4.0,0.0
LASSO,80.0,5.0,0.0
